zip,primary_city,state,county,latitude,longitude
00501,Holtsville,NY,Suffolk County,40.81,-73.04
00544,Holtsville,NY,Suffolk County,40.81,-73.04
00601,Adjuntas,PR,Adjuntas Municipio,18.16,-66.72
00602,Aguada,PR,Aguada Municipio,18.38,-67.18
00603,Aguadilla,PR,Aguadilla Municipio,18.43,-67.15
00604,Aguadilla,PR,NA,18.43,-67.15
00605,Aguadilla,PR,NA,18.43,-67.15
00606,Maricao,PR,Maricao Municipio,18.18,-66.98
00610,Anasco,PR,Anasco Municipio,18.28,-67.14
00611,Angeles,PR,NA,18.28,-66.79
00612,Arecibo,PR,Arecibo Municipio,18.45,-66.73
00613,Arecibo,PR,NA,18.45,-66.73
00614,Arecibo,PR,NA,18.45,-66.73
00616,Bajadero,PR,Arecibo Municipio,18.42,-66.67
00617,Barceloneta,PR,Barceloneta Municipio,18.45,-66.56
00622,Boqueron,PR,Cabo Rojo Municipio,17.99,-67.15
00623,Cabo Rojo,PR,Cabo Rojo Municipio,18.08,-67.14
00624,Penuelas,PR,Penuelas Municipio,18.06,-66.72
00627,Camuy,PR,Camuy Municipio,18.48,-66.84
00631,Castaner,PR,Lares Municipio,18.19,-66.82
00636,Rosario,PR,NA,18.15,-67.06
00637,Sabana Grande,PR,Sabana Grande Municipio,18.08,-66.96
00638,Ciales,PR,Ciales Municipio,18.33,-66.47
00641,Utuado,PR,Utuado Municipio,18.27,-66.7
00646,Dorado,PR,Dorado Municipio,18.47,-66.27
00647,Ensenada,PR,Guanica Municipio,17.96,-66.94
00650,Florida,PR,Florida Municipio,18.36,-66.56
00652,Garrochales,PR,Arecibo Municipio,18.45,-66.6
00653,Guanica,PR,Guanica Municipio,17.99,-66.89
00656,Guayanilla,PR,Guayanilla Municipio,18.02,-66.79
00659,Hatillo,PR,Hatillo Municipio,18.48,-66.82
00660,Hormigueros,PR,Hormigueros Municipio,18.14,-67.12
00662,Isabela,PR,Isabela Municipio,18.5,-67.02
00664,Jayuya,PR,Jayuya Municipio,18.22,-66.59
00667,Lajas,PR,Lajas Municipio,18.04,-67.06
00669,Lares,PR,Lares Municipio,18.29,-66.88
00670,Las Marias,PR,Las Marias Municipio,18.27,-67.06
00674,Manati,PR,Manati Municipio,18.43,-66.48
00676,Moca,PR,Moca Municipio,18.39,-67.11
00677,Rincon,PR,Rincon Municipio,18.34,-67.25
00678,Quebradillas,PR,Quebradillas Municipio,18.47,-66.93
00680,Mayaguez,PR,Mayaguez Municipio,18.2,-67.14
00681,Mayaguez,PR,NA,18.2,-67.14
00682,Mayaguez,PR,Mayaguez Municipio,18.22,-67.16
00683,San German,PR,San German Municipio,18.08,-67.04
00685,San Sebastian,PR,San Sebastian Municipio,18.33,-66.99
00687,Morovis,PR,Morovis Municipio,18.32,-66.4
00688,Sabana Hoyos,PR,Arecibo Municipio,18.38,-66.62
00690,San Antonio,PR,Aguadilla Municipio,18.49,-67.09
00692,Vega Alta,PR,Vega Alta Municipio,18.41,-66.32
00693,Vega Baja,PR,Vega Baja Municipio,18.44,-66.39
00694,Vega Baja,PR,Vega Baja Municipio,18.48,-66.39
00698,Yauco,PR,Yauco Municipio,18.03,-66.86
00703,Aguas Buenas,PR,Aguas Buenas Municipio,18.25,-66.1
00704,Aguirre,PR,Salinas Municipio,17.96,-66.22
00705,Aibonito,PR,Aibonito Municipio,18.14,-66.26
00707,Maunabo,PR,Maunabo Municipio,18,-65.9
00714,Arroyo,PR,Arroyo Municipio,17.97,-66.06
00715,Mercedita,PR,Ponce Municipio,18.01,-66.56
00716,Ponce,PR,Ponce Municipio,17.98,-66.6
00717,Ponce,PR,Ponce Municipio,18,-66.61
00718,Naguabo,PR,Naguabo Municipio,18.21,-65.73
00719,Naranjito,PR,Naranjito Municipio,18.3,-66.24
00720,Orocovis,PR,Orocovis Municipio,18.22,-66.39
00721,Palmer,PR,NA,18.37,-65.77
00723,Patillas,PR,Patillas Municipio,18,-66.01
00725,Caguas,PR,Caguas Municipio,18.23,-66.03
00726,Caguas,PR,NA,18.23,-66.03
00727,Caguas,PR,Caguas Municipio,18.22,-66.07
00728,Ponce,PR,Ponce Municipio,17.99,-66.66
00729,Canovanas,PR,Canovanas Municipio,18.37,-65.9
00730,Ponce,PR,Ponce Municipio,18.03,-66.62
00731,Ponce,PR,Ponce Municipio,18.11,-66.63
00732,Ponce,PR,NA,17.98,-66.6
00733,Ponce,PR,NA,17.98,-66.6
00734,Ponce,PR,NA,17.98,-66.6
00735,Ceiba,PR,Ceiba Municipio,18.25,-65.68
00736,Cayey,PR,Cayey Municipio,18.11,-66.16
00737,Cayey,PR,NA,18.11,-66.16
